id,name,party,sector,country
uvdl,Ursula von der Leyen,CDU,Politik,
lk,Lars Klingebeil,SPD,Politik,
nr,Norbert Röttgen,SPD,Politik,Deutschland
sw,Sarah Wagenknecht,Die Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,,Jura,Deutschland
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,,Historiker,Deutschland
lm,Ljudmyla Melnyk,,Politikwissenschaft,Ukraine
kd,Kristina Dunz,,Journalismus,Deutschland
el,Egils Levits,,Politik,Lettland
ab,Annalena Baerbock,Grüne,Politik,Deutschland
ft,Frans Timmermans,,Politik,Niederlande
am,Andrey Melnyk,,Botschaft,Ukraine
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Bundeswehr,Deutschland
rh,Robert Habeck,Grüne,Politik,Deutschland
cm,Claudia Major,n.a,Politikwissenschaftlerin,Deutschland
kp,Katja Petrowskaja,n.a,Journalismus,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
500,Folge 500,,,
501,Folge 501,,,
502,Folge 502,,,
503,Folge 503,,,