id,name,type,sex,age_real,politics,county,born in,spotify-listener,prison,religion
acaz,Acaz,1,m,,,Rheinland-Pfalz,,11.369,,
alva,Alva,1,w,,,,,2.382,,
azat,Azatro,1,m,,,,,1.618,,
bloo,Bloody32,1,m,,,Brandenburg,,1.618,,
bus,Bustek,1,m,34,,Berlin,Berlin,1.907,,
chid,Chidvillas,2,m,,,,,470,,
chri,Chris Ares,1,m,31,,Bayern,Baden-Württemberg,,,
cro,Cro,1,m,34,,,Baden-Württemberg,4.952.001,,
deee,Dee Ex,1,w,41,,,Berlin,,,
dert,Der Typ,1,m,,Corona-Rebellen Düsseldorf,Nordrhein-Westfalen,,2.888,war bei Sturm auf Reichstag dabei,
diss,Dissziplin,1,m,,,Sachsen,Brandenburg,11.458,,
dcv,DCVDNS,1,m,36,,Saarland,Saarland,114.137,,
drsu,Dr. Surabi,1,m,,,,,27.571,,
flak,FLAK,2,m,,,Nordrhein-Wetsfalen,,8.373,,
frey,Freya,1,w,,,,,1.618,,
gals,Galstarr (Absztrakkt),1,m,45,Neue Weltordnung,Nordrhein-Westfalen,Kärnten,4.976,,bhuddistisch
goet,Goethe,1,m,37,,Nordrhein-Westfalen,Nordrhein-Westfalen,2.888,,
gory,Gory Gore,1,m,,,,,134,,
herz,Herzog,1,m,39,,Berlin,Berlin,148.289,,
holy,holy smokez,1,m,43,,Hamburg,Hamburg,2.229,,
ills,Illstar,1,m,,,,,5,,
juli,Julia Juls,1,w,,,,,995,,
kava,Kavalier,1,m,,,,,10.309,,
komb,Kombaat,1,m,,,Bayern,Tirol,539,,
komp,Komplott,1,m,31,,Baden-Württemberg,Baden-Württemberg,,,
lapa,Lapaz,1,m,42,,Hessen,Nordrhein-Westfalen,2.955,,
maks,MaKss Damage (MKD),1,m,36,,,Nordrhein-Westfalen,1.651,,
mea,Mea Liebe,1,w,37,,Berlin,Berlin,435,,
menx,Menx,1,m,,,,,3.644,,
micr,Mic Revolt,1,m,37,,Thüringen,,,,
mrbo,Mr. Bond,1,m,37,,,Tirol,2,,
omik,Omik K.,1,m,35,hells angels,Sachsen,Kuba,17.867,,
phiz,Phizzo,1,m,43,,Berlin,Berlin,3.101,,
ptk,PTK,1,m,36,,,Berlin,89.937,,
prim,Primus MPZ,1,m,,,,,2.860,,
prot,Prototyp,1,m,,,,Nordrhein-Westfalen,4.650,,
runa,Runa,1,w,,,Sachsen,,5.634,,
sadi,Sadi Gent,1,m,,,Berlin,Berlin,15.212,,
sach,Sacha Korn,1,m,49,,,Brandenburg,404,,
sash,Sash JM,1,m,36,,Niedersachsen,Ukraine,,,
skep,Skeptika,1,m,,,Sachsen,Bayern,8.594,,
skun,Skunk Beatz,1,m,,,,,261,,
tai,Taichi,1,m,40,,Berlin,Okzitanien,14.244,,
tbu,TBurnA,1,m,42,,Nordrhein-Westfalen,,1.952,,christlich
toni,Toni Tano,1,m,,,Mexiko,,1.618,war bei Sturm auf Reichstag dabei,
tum,Tumani,1,m,40,,Hessen,Hessen,653,,
twan,Twanie,1,m,37,Neue Weltordnung,,Schleswig-Holstein,1.621,,christlich
ukv,Ukvali,1,m,34,Neue Weltordnung,Hessen,Hessen,6.518,,
urba,Urbanize,2,m,,,,,52.899,,
vill,Villian051,1,m,,,,,,,
xavi,Xavier Naidoo,1,m,53,,,Baden-Württemberg,618.667,,
yann,Yannick D.,1,m,,,Hamburg,Schleswig-Holstein,2.578,,christlich
86ki,86 kiloherz,1,m,,,,,759,,
gond,G.O.N.D,3,,,,,,,,
schu,Schild & Schwert-Festival,3,,,,,,,,
nouv,NouVision Song contest,3,,,,,,,,
bomb,Bombenprodukt,4,,,,,,,,
nds,Neuer Deutscher Standard,4,,,,,,,,
takt,Taktstock Records,4,,,,,,,,
svp,sub-version-production,4,,,,,,,,
reco,recordJet,4,,,,,,,,
rata,Rat-a-tat Records,4,,,,,,,,
onen,One Nation Recordz,4,,,,,,,,
eine,Eine der Wenigen,4,,,,,,,,
rapb,Rapbellion,2,,,,,,,,