from,to,relation,weight
nds,alva,3,
nds,azat,3,
nds,chri,3,
nds,kava,3,
nds,maks,3,
nds,prim,3,
nds,prot,3,
nds,runa,3,
nds,skep,3,
svp,bloo,3,
svp,juli,3,
svp,komb,3,
bomb,drsu,3,
bomb,86ki,3,
bomb,herz,3,
bomb,ptk,3,
bomb,sadi,3,
takt,micr,3,
takt,vill,3,
alva,runa,1,
deee,vill,4,2
86ki,ptk,4,2
prot,chri,4,2
toni,lapa,2,1
lapa,urba,3,2
lapa,bus,4,2
lapa,holy,4,2
lapa,yann,4,2
lapa,twan,4,2
lapa,xavi,1,1
lapa,goet,4,2
lapa,gals,1,1
lapa,dert,4,2
lapa,tum,4,2
bus,skun,1,1
bus,dert,4,2
bus,holy,4,2
bus,yann,4,2
bus,twan,4,2
bus,xavi,1,1
bus,goet,4,2
bus,gals,1,1
bus,tum,4,2
dert,holy,4,2
dert,yann,4,2
dert,twan,4,2
dert,xavi,4,2
dert,goet,4,2
dert,gals,4,1
dert,tum,4,2
holy,yann,4,2
holy,twan,4,2
holy,xavi,1,1
holy,goet,4,2
holy,gals,1,1
holy,tum,4,2
yann,twan,4,2
yann,xavi,1,1
yann,goet,4,2
yann,gals,1,1
yann,tum,4,2
twan,xavi,1,1
twan,goet,4,2
twan,gals,1,1
twan,tum,1,1
tbu,twan,4,2
xavi,goet,1,1
xavi,tum,1,1
goet,gals,1,1
goet,tum,4,2
gals,tum,1,1
rapb,lapa,3,
rapb,bus,3,
rapb,holy,3,
rapb,yann,3,
rapb,twan,3,
rapb,xavi,3,
rapb,goet,3,
rapb,gals,3,
rapb,dert,3,
rapb,tum,3,
reco,tbu,3,
reco,omik,3,
rata,dcv,3,
onen,ukv,3,
onen,nds,3,
nds,ukv,3,
eine,gals,3,
eine,chid,3,
eine,gory,3,
eine,ills,3,
tbu,tai,4,2
tbu,dcv,1,1
cro,dcv,1,1
alva,azat,1,1
alva,bloo,1,1
alva,dert,1,1
alva,frey,1,1
alva,gals,1,1
alva,kava,1,1
alva,maks,1,1
alva,phiz,1,1
alva,prot,1,1
alva,skep,1,1
alva,toni,1,1
alva,ukv,1,1
azat,bloo,1,1
azat,dert,1,1
azat,frey,1,1
azat,gals,1,1
azat,kava,1,1
azat,maks,1,1
azat,phiz,1,1
azat,prot,1,1
azat,skep,1,1
azat,toni,1,1
azat,ukv,1,1
bloo,dert,1,1
bloo,frey,1,1
bloo,gals,1,1
bloo,kava,1,1
bloo,maks,1,1
bloo,phiz,1,1
bloo,prot,1,1
bloo,skep,1,1
bloo,toni,1,1
bloo,ukv,1,1
dert,frey,1,1
dert,gals,4,2
dert,kava,1,1
dert,maks,1,1
dert,phiz,1,1
dert,prot,1,1
dert,skep,1,1
dert,toni,1,1
dert,ukv,4,2
frey,gals,1,1
frey,kava,1,1
frey,maks,1,1
frey,phiz,1,1
frey,prot,1,1
frey,skep,1,1
frey,toni,1,1
frey,ukv,1,1
gals,kava,1,1
gals,maks,1,1
gals,phiz,1,1
gals,prot,1,1
gals,skep,1,1
gals,toni,1,1
gals,ukv,1,1
kava,maks,1,1
kava,phiz,1,1
kava,prot,1,1
kava,skep,1,1
kava,toni,1,1
kava,ukv,1,1
maks,phiz,1,1
maks,prot,1,1
maks,skep,1,1
maks,toni,1,1
maks,ukv,1,1
phiz,prot,1,1
phiz,skep,1,1
phiz,toni,1,1
phiz,ukv,1,1
prot,skep,1,1
prot,toni,1,1
prot,ukv,1,1
skep,toni,1,1
skep,ukv,1,1
toni,ukv,1,1
xavi,ukv,1,1
phiz,mea,4,2
ukv,mea,1,1
gals,chid,4,2
xavi,toni,1,1
mea,phiz,4,2
mea,ukv,1,1
chid,gals,4,2
toni,xavi,1,1
ast,raw,4,2
ast,vill,4,2
ast,evil,3,2
rapb,lapa,3,2
rapb,bus,3,2
rapb,dert,3,2
rapb,holy,3,2
rapb,yann,3,2
rapb,twan,3,2
rapb,xavi,3,2
rapb,goet,3,2
rapb,gals,3,2
rapb,tum,3,2
urba,lapa,3,2
urba,rom,3,2
urba,isa,3,2
flak,sven,3,1
flak,phil,4,2
flak,erik,4,2
flak,jens,4,2